condition,author_set,window_size,start_mark,end_mark,target_author,run_id,source_book,feature,window_index,target_kl,nearest_other_kl,target_margin,target_rank,target_hit,predicted_author,model,arm,offset,source_type
human_start,all_authors,1000,0,1000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,1,0.029499711658975573,0.07715013416890146,0.047650422509925884,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,1000,2000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,2,0.054892579024046234,0.0741505383758696,0.019257959351823367,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,2000,3000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,3,0.03093598545834222,0.04172200460734511,0.01078601914900289,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,3000,4000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,4,0.069345709374415,0.05694264499478537,-0.012403064379629632,3,False,louis_joseph_vance,human,human_start,0,human
human_start,all_authors,1000,4000,5000,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,5,0.10564686210560781,0.04384393020995363,-0.06180293189565418,7,False,louis_joseph_vance,human,human_start,0,human
human_interior,all_authors,1000,12109,13109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,1,0.02256508362295298,0.03317416487714583,0.010609081254192847,1,True,jane_austen,human,human_interior,12109,human
human_interior,all_authors,1000,13109,14109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,2,0.02524518254020481,0.05101956979956011,0.025774387259355304,1,True,jane_austen,human,human_interior,12109,human
human_interior,all_authors,1000,14109,15109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,3,0.019036691680253057,0.03633570901513158,0.01729901733487852,1,True,jane_austen,human,human_interior,12109,human
human_interior,all_authors,1000,15109,16109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,4,0.07975666734794919,0.031584680843429705,-0.04817198650451948,2,False,mary_shelley,human,human_interior,12109,human
human_interior,all_authors,1000,16109,17109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f1,5,0.028355127435520627,0.021229372735894977,-0.007125754699625651,2,False,charles_dickens,human,human_interior,12109,human
human_interior,all_authors,1000,12109,13109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,1,0.061899561235269907,0.08117279111065871,0.019273229875388806,1,True,jane_austen,human,human_interior,12109,human
human_interior,all_authors,1000,13109,14109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,2,0.057695077551702,0.12002152603448082,0.06232644848277882,1,True,jane_austen,human,human_interior,12109,human
human_interior,all_authors,1000,14109,15109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,3,0.05962586334410942,0.10558731995930597,0.045961456615196544,1,True,jane_austen,human,human_interior,12109,human
human_interior,all_authors,1000,15109,16109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,4,0.15612891130575335,0.09105736849584313,-0.06507154280991022,2,False,mary_shelley,human,human_interior,12109,human
human_interior,all_authors,1000,16109,17109,jane_austen,gutenberg_texts/161.txt,gutenberg_texts/161.txt,f3,5,0.074351297073679,0.07707155280796456,0.002720255734285554,1,True,jane_austen,human,human_interior,12109,human
human_start,all_authors,1000,0,1000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,1,0.08271651953492187,0.04782552647953319,-0.03489099305538868,5,False,charles_dickens,human,human_start,0,human
human_start,all_authors,1000,1000,2000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,2,0.025825631696582425,0.015428749410026135,-0.01039688228655629,3,False,mark_twain,human,human_start,0,human
human_start,all_authors,1000,2000,3000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,3,0.0612668506222926,0.012832149116989367,-0.048434701505303226,6,False,louis_joseph_vance,human,human_start,0,human
human_start,all_authors,1000,3000,4000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,4,0.04224661650981572,0.025667174864155783,-0.016579441645659936,4,False,louis_joseph_vance,human,human_start,0,human
human_start,all_authors,1000,4000,5000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,5,0.011854983218038847,0.020496965402925227,0.00864198218488638,1,True,jane_austen,human,human_start,0,human
human_start,all_authors,1000,0,1000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,1,0.19379683866449057,0.14873184483086116,-0.04506499383362941,3,False,charlotte_bronte,human,human_start,0,human
human_start,all_authors,1000,1000,2000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,2,0.08250520550209799,0.07023773205125364,-0.012267473450844349,2,False,charlotte_bronte,human,human_start,0,human
human_start,all_authors,1000,2000,3000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,3,0.13816487173750622,0.058406127875225165,-0.07975874386228105,5,False,louis_joseph_vance,human,human_start,0,human
human_start,all_authors,1000,3000,4000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,4,0.09324230560316554,0.057371738888552605,-0.03587056671461294,4,False,louis_joseph_vance,human,human_start,0,human
human_start,all_authors,1000,4000,5000,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,5,0.02926662276198631,0.05286439105581179,0.02359776829382548,1,True,jane_austen,human,human_start,0,human
human_interior,all_authors,1000,9087,10087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,1,0.018493998962675486,0.011229764759664569,-0.007264234203010917,2,False,mark_twain,human,human_interior,9087,human
human_interior,all_authors,1000,10087,11087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,2,0.030875032577963774,0.015017301720409819,-0.015857730857553955,5,False,louis_joseph_vance,human,human_interior,9087,human
human_interior,all_authors,1000,11087,12087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,3,0.05216556237604558,0.0052406485857459,-0.046924913790299685,2,False,mary_shelley,human,human_interior,9087,human
human_interior,all_authors,1000,12087,13087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,4,0.02783112794206543,0.01423414577630147,-0.01359698216576396,4,False,mark_twain,human,human_interior,9087,human
human_interior,all_authors,1000,13087,14087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f1,5,0.011066200626389857,0.023468304763421648,0.012402104137031791,1,True,jane_austen,human,human_interior,9087,human
human_interior,all_authors,1000,9087,10087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,1,0.05781137968929215,0.05879363951307733,0.0009822598237851851,1,True,jane_austen,human,human_interior,9087,human
human_interior,all_authors,1000,10087,11087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,2,0.06797760025322233,0.049832860221593986,-0.018144740031628345,3,False,louis_joseph_vance,human,human_interior,9087,human
human_interior,all_authors,1000,11087,12087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,3,0.1229007280669085,0.038820030085494124,-0.08408069798141438,2,False,mary_shelley,human,human_interior,9087,human
human_interior,all_authors,1000,12087,13087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,4,0.06745969428762262,0.07265110616963107,0.005191411882008445,1,True,jane_austen,human,human_interior,9087,human
human_interior,all_authors,1000,13087,14087,jane_austen,gutenberg_texts/1342.txt,gutenberg_texts/1342.txt,f3,5,0.05666421880228604,0.08126860955007677,0.02460439074779073,1,True,jane_austen,human,human_interior,9087,human
human_start,all_authors,1000,0,1000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,1,0.118943568470608,0.011644779208363187,-0.10729878926224481,18,False,arthur_conan_doyle,human,human_start,0,human
human_start,all_authors,1000,1000,2000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,2,0.05651151314824274,0.012513450725139897,-0.04399806242310284,10,False,oscar_wilde,human,human_start,0,human
human_start,all_authors,1000,2000,3000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,3,0.15111168626803262,0.020036572777695785,-0.13107511349033685,19,False,arthur_conan_doyle,human,human_start,0,human
human_start,all_authors,1000,3000,4000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,4,0.18093233326835212,0.029247128267282478,-0.15168520500106963,19,False,robert_sidney_bowen,human,human_start,0,human
human_start,all_authors,1000,4000,5000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,5,0.2717968876336752,0.03995962870808724,-0.23183725892558799,19,False,robert_sidney_bowen,human,human_start,0,human
human_start,all_authors,1000,0,1000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,1,0.29742560721512784,0.08436469194032695,-0.2130609152748009,19,False,arthur_conan_doyle,human,human_start,0,human
human_start,all_authors,1000,1000,2000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,2,0.122024162590934,0.06078571737667111,-0.061238445214262895,6,False,joseph_conrad,human,human_start,0,human
human_start,all_authors,1000,2000,3000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,3,0.29847816493862417,0.07185083625527532,-0.22662732868334884,19,False,agnes_may_fleming,human,human_start,0,human
human_start,all_authors,1000,3000,4000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,4,0.3442849080372778,0.07177246716958544,-0.27251244086769233,18,False,ethel_m_dell,human,human_start,0,human
human_start,all_authors,1000,4000,5000,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,5,0.5428619029621519,0.09900457714396133,-0.44385732581819054,19,False,mildred_wirt,human,human_start,0,human
human_interior,all_authors,1000,3515,4515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,1,0.24506362739095597,0.023767344588526584,-0.22129628280242938,19,False,ethel_m_dell,human,human_interior,3515,human
human_interior,all_authors,1000,4515,5515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,2,0.19402981317013063,0.0127182417080603,-0.18131157146207033,19,False,robert_sidney_bowen,human,human_interior,3515,human
human_interior,all_authors,1000,5515,6515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,3,0.24763250969167222,0.01917148166487587,-0.22846102802679635,19,False,ethel_m_dell,human,human_interior,3515,human
human_interior,all_authors,1000,6515,7515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,4,0.005076945571006038,0.013730332456709038,0.008653386885703,1,True,herbert_george_wells,human,human_interior,3515,human
human_interior,all_authors,1000,7515,8515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f1,5,0.06558603785640714,0.01386034155155809,-0.05172569630484905,11,False,arthur_conan_doyle,human,human_interior,3515,human
human_interior,all_authors,1000,3515,4515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,1,0.47770587649912943,0.07297760414058631,-0.40472827235854314,19,False,ethel_m_dell,human,human_interior,3515,human
human_interior,all_authors,1000,4515,5515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,2,0.3511077838904024,0.05962173833711202,-0.2914860455532904,19,False,ethel_m_dell,human,human_interior,3515,human
human_interior,all_authors,1000,5515,6515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,3,0.43915630872292444,0.07384908087199746,-0.36530722785092695,19,False,ethel_m_dell,human,human_interior,3515,human
human_interior,all_authors,1000,6515,7515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,4,0.03913784787150706,0.05818838671852137,0.01905053884701431,1,True,herbert_george_wells,human,human_interior,3515,human
human_interior,all_authors,1000,7515,8515,herbert_george_wells,full_books/herbert_george_wells_full.txt,full_books/herbert_george_wells_full.txt,f3,5,0.13861379170988747,0.050623671122262924,-0.08799012058762454,8,False,arthur_conan_doyle,human,human_interior,3515,human
human_start,all_authors,1000,0,1000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,1,0.10223870299843853,0.047918627147138314,-0.05432007585130021,3,False,joseph_conrad,human,human_start,0,human
human_start,all_authors,1000,1000,2000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,2,0.036124398547487516,0.003135835083948743,-0.032988563463538775,3,False,joseph_conrad,human,human_start,0,human
human_start,all_authors,1000,2000,3000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,3,0.048552362963150214,0.01282192744178637,-0.035730435521363846,3,False,joseph_conrad,human,human_start,0,human
human_start,all_authors,1000,3000,4000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,4,0.015627244232417944,0.004145199654246517,-0.011482044578171428,3,False,oscar_wilde,human,human_start,0,human
human_start,all_authors,1000,4000,5000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,5,0.06806831207154349,0.0290688891625253,-0.038999422909018186,4,False,joseph_conrad,human,human_start,0,human
human_start,all_authors,1000,0,1000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,1,0.2392243278046854,0.14474440750590092,-0.09447992029878446,3,False,joseph_conrad,human,human_start,0,human
human_start,all_authors,1000,1000,2000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,2,0.09381361505908202,0.04762090555008636,-0.04619270950899566,2,False,joseph_conrad,human,human_start,0,human
human_start,all_authors,1000,2000,3000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,3,0.12618619277691373,0.08330042076939369,-0.04288577200752004,3,False,joseph_conrad,human,human_start,0,human
human_start,all_authors,1000,3000,4000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,4,0.08464170352483992,0.0878706915198134,0.003228987994973481,1,True,herbert_george_wells,human,human_start,0,human
human_start,all_authors,1000,4000,5000,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,5,0.15506254678838893,0.09556284218028803,-0.0594997046081009,3,False,joseph_conrad,human,human_start,0,human
human_interior,all_authors,1000,1298,2298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,1,0.03955426458014196,0.00683529606173902,-0.03271896851840294,3,False,joseph_conrad,human,human_interior,1298,human
human_interior,all_authors,1000,2298,3298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,2,0.013755481598433135,0.0038030512360457324,-0.009952430362387403,3,False,oscar_wilde,human,human_interior,1298,human
human_interior,all_authors,1000,3298,4298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,3,0.09920430260541212,0.04468128799565714,-0.05452301460975498,5,False,joseph_conrad,human,human_interior,1298,human
human_interior,all_authors,1000,4298,5298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,4,0.058389155077634446,0.026131730196320445,-0.032257424881314,3,False,joseph_conrad,human,human_interior,1298,human
human_interior,all_authors,1000,5298,6298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f1,5,0.17949578807143537,0.09207684641524494,-0.08741894165619044,5,False,joseph_conrad,human,human_interior,1298,human
human_interior,all_authors,1000,1298,2298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,1,0.09878345584824953,0.053113022900694945,-0.04567043294755459,3,False,joseph_conrad,human,human_interior,1298,human
human_interior,all_authors,1000,2298,3298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,2,0.06475005542033947,0.07506926142653413,0.010319206006194653,1,True,herbert_george_wells,human,human_interior,1298,human
human_interior,all_authors,1000,3298,4298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,3,0.22991708856186802,0.132167455305594,-0.097749633256274,6,False,joseph_conrad,human,human_interior,1298,human
human_interior,all_authors,1000,4298,5298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,4,0.13862155319618566,0.08434190288074557,-0.05427965031544009,3,False,joseph_conrad,human,human_interior,1298,human
human_interior,all_authors,1000,5298,6298,herbert_george_wells,gutenberg_texts/36.txt,gutenberg_texts/36.txt,f3,5,0.31455823556604073,0.16710028333235555,-0.14745795223368519,6,False,mary_shelley,human,human_interior,1298,human
human_start,all_authors,1000,0,1000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,1,0.02769620958599087,0.00845102180248029,-0.01924518778351058,5,False,louis_joseph_vance,human,human_start,0,human
human_start,all_authors,1000,1000,2000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,2,0.02024378858368777,0.014371374025859416,-0.005872414557828354,2,False,kathleen_thompson_norris,human,human_start,0,human
human_start,all_authors,1000,2000,3000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,3,0.04361200013069321,0.03418308244792942,-0.009428917682763792,3,False,susan_warner,human,human_start,0,human
human_start,all_authors,1000,3000,4000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,4,0.046423013870931194,0.014528752678304072,-0.03189426119262712,6,False,john_c_hutcheson,human,human_start,0,human
human_start,all_authors,1000,4000,5000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,5,0.037302286681197214,0.03524700692257193,-0.002055279758625281,2,False,kathleen_thompson_norris,human,human_start,0,human
human_start,all_authors,1000,0,1000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,1,0.08354186700154413,0.04478370975409387,-0.03875815724745026,6,False,charles_dickens,human,human_start,0,human
human_start,all_authors,1000,1000,2000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,2,0.09700055388681783,0.0626881724228375,-0.03431238146398033,4,False,charles_dickens,human,human_start,0,human
human_start,all_authors,1000,2000,3000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,3,0.1270955965393929,0.09582308061233265,-0.03127251592706025,4,False,louis_joseph_vance,human,human_start,0,human
human_start,all_authors,1000,3000,4000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,4,0.1365037353951963,0.046581173131086076,-0.08992256226411023,7,False,charles_dickens,human,human_start,0,human
human_start,all_authors,1000,4000,5000,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,5,0.11685887324549082,0.10641168595255324,-0.010447187292937588,4,False,louis_joseph_vance,human,human_start,0,human
human_interior,all_authors,1000,4018,5018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,1,0.03846053650749682,0.03677291289014986,-0.0016876236173469575,2,False,kathleen_thompson_norris,human,human_interior,4018,human
human_interior,all_authors,1000,5018,6018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,2,0.051809562979624024,0.015810392402506875,-0.03599917057711715,8,False,jane_austen,human,human_interior,4018,human
human_interior,all_authors,1000,6018,7018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,3,0.04089515408578,0.01518194436812221,-0.025713209717657788,5,False,charles_dickens,human,human_interior,4018,human
human_interior,all_authors,1000,7018,8018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,4,0.038487369785527956,0.025016856139517686,-0.01347051364601027,5,False,louis_joseph_vance,human,human_interior,4018,human
human_interior,all_authors,1000,8018,9018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f1,5,0.0639614276636187,0.005005013416332117,-0.058956414247286586,6,False,john_c_hutcheson,human,human_interior,4018,human
human_interior,all_authors,1000,4018,5018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,1,0.12106355252090023,0.11009550222113224,-0.010968050299767995,4,False,louis_joseph_vance,human,human_interior,4018,human
human_interior,all_authors,1000,5018,6018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,2,0.1356812350402083,0.044281042910285624,-0.09140019212992267,8,False,charles_dickens,human,human_interior,4018,human
human_interior,all_authors,1000,6018,7018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,3,0.11823620105899033,0.057220248355713134,-0.06101595270327719,6,False,charles_dickens,human,human_interior,4018,human
human_interior,all_authors,1000,7018,8018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,4,0.1293661709593637,0.0809069423171851,-0.04845922864217861,6,False,charles_dickens,human,human_interior,4018,human
human_interior,all_authors,1000,8018,9018,agnes_may_fleming,full_books/agnes_may_fleming_full.txt,full_books/agnes_may_fleming_full.txt,f3,5,0.1698028100320356,0.053899592517144344,-0.11590321751489124,7,False,john_c_hutcheson,human,human_interior,4018,human
human_start,all_authors,1000,0,1000,agnes_may_fleming,gutenberg_texts/7063.txt,gutenberg_texts/7063.txt,f1,1,0.03838052929370891,0.015506700517864078,-0.02287382877584483,8,False,jane_austen,human,human_start,0,human
