interpretation,endpoint,experiment,author_set,condition,policy,unit,chunk_size,feature,author,n,correct,accuracy_pct,chance_pct,binomial_p_greater_than_chance,most_predicted,skipped,n_human,n_llm,human_median_G,llm_median_G,auc,threshold_at_5pct_fpr,tpr_at_5pct_fpr,mannwhitney_p_llm_greater
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,2000,f3,ALL,200,38,19.0,5.0,1.4020923331543472e-12,arthur_conan_doyle:42; herbert_george_wells:39; ethel_m_dell:24,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,4000,f3,ALL,200,33,16.5,5.0,1.7992353096889607e-09,herbert_george_wells:59; arthur_conan_doyle:33; harold_l_goodwin:29,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,1000,f1,ALL,260,45,17.307692307692307,7.6923076923076925,2.8038502832538347e-07,jane_austen:78; arthur_conan_doyle:76; kathleen_thompson_norris:51,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,2000,f1,ALL,260,43,16.53846153846154,7.6923076923076925,1.7639589875372098e-06,arthur_conan_doyle:90; jane_austen:84; kathleen_thompson_norris:47,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,4000,f1,ALL,260,40,15.384615384615385,7.6923076923076925,2.278903379810422e-05,arthur_conan_doyle:100; jane_austen:88; kathleen_thompson_norris:41,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,1000,f3,ALL,260,45,17.307692307692307,7.6923076923076925,2.8038502832538347e-07,kathleen_thompson_norris:88; jane_austen:62; arthur_conan_doyle:62,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,2000,f3,ALL,260,42,16.153846153846153,7.6923076923076925,4.252702033158454e-06,kathleen_thompson_norris:81; arthur_conan_doyle:78; jane_austen:61,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,flash,pooled_all_books,run,4000,f3,ALL,260,41,15.76923076923077,7.6923076923076925,9.980220275136082e-06,arthur_conan_doyle:95; kathleen_thompson_norris:82; jane_austen:59,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,1000,f1,ALL,130,25,19.23076923076923,7.6923076923076925,1.8237317037308077e-05,arthur_conan_doyle:53; robert_sidney_bowen:19; harold_l_goodwin:19,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,2000,f1,ALL,130,25,19.23076923076923,7.6923076923076925,1.8237317037308077e-05,arthur_conan_doyle:63; harold_l_goodwin:19; robert_sidney_bowen:17,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,4000,f1,ALL,130,20,15.384615384615385,7.6923076923076925,0.0022819708596626027,arthur_conan_doyle:67; harold_l_goodwin:25; robert_sidney_bowen:15,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,1000,f3,ALL,130,30,23.076923076923077,7.6923076923076925,4.531375846370285e-08,arthur_conan_doyle:43; harold_l_goodwin:22; ethel_m_dell:20,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,2000,f3,ALL,130,23,17.692307692307693,7.6923076923076925,0.00014602416461242316,arthur_conan_doyle:58; ethel_m_dell:21; harold_l_goodwin:20,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,margin_gt_1,pro,pooled_all_books,run,4000,f3,ALL,130,20,15.384615384615385,7.6923076923076925,0.0022819708596626027,arthur_conan_doyle:61; harold_l_goodwin:27; ethel_m_dell:20,0,,,,,,,,
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,1000,f1,,,,,,,,0,1003,400,33.673592067096465,255.70266316656375,0.9528364905284148,152.43812467217833,0.7425,3.0693009864950533e-155
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,1000,f3,,,,,,,,0,1003,400,84.90150624842623,351.91021395967255,0.9689531405782652,206.53186579873523,0.815,2.569589200032832e-166
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,1000,f1,,,,,,,,0,1003,200,33.673592067096465,123.28020727737484,0.8226719840478565,152.43812467217833,0.33,1.729174341874967e-47
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,1000,f3,,,,,,,,0,1003,200,84.90150624842623,184.74980642493063,0.8516500498504487,206.53186579873523,0.415,5.216047290810283e-56
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,2000,f1,,,,,,,,0,485,400,44.485048880256045,575.8654872589915,0.9829072164948454,219.83219417421023,0.925,1.422530220767354e-135
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,2000,f3,,,,,,,,0,485,400,107.02465218426403,703.7770995574836,0.992020618556701,291.82050771775556,0.9775,1.1901298413472585e-140
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,2000,f1,,,,,,,,0,485,200,44.485048880256045,244.1796211725761,0.8842680412371134,219.83219417421023,0.615,9.876305174568236e-57
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,2000,f3,,,,,,,,0,485,200,107.02465218426403,362.5185581661483,0.9243092783505155,291.82050771775556,0.635,1.0538509688982641e-68
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,4000,f1,,,,,,,,0,225,400,58.95997054480319,1158.67527189466,0.9933888888888889,315.87412922184836,0.98,1.2385807464297073e-93
descriptive_leakage_contrast_only,detection,,,flash,pooled_all_books,,4000,f3,,,,,,,,0,225,400,139.1654489461731,1340.5770840598263,0.9975333333333334,433.695150223576,0.9975,3.5545343245970845e-95
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,4000,f1,,,,,,,,0,225,200,58.95997054480319,518.4848186862814,0.9230666666666667,315.87412922184836,0.725,1.434555846911062e-51
descriptive_leakage_contrast_only,detection,,,pro,pooled_all_books,,4000,f3,,,,,,,,0,225,200,139.1654489461731,706.9640066686292,0.9602,433.695150223576,0.795,1.2377709778405366e-60
